epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1008.95,0.36725,0.34383,0.10792,0.28016,0.92899,0.99758,1,0.995,0.9044,0.99758,1,0.995,0.92682,0.44594,0.46752,0.11144,0.29148,0.91409,0.0005348,0.0005348,0.0005348
39,1034.13,0.35479,0.3374,0.10454,0.26341,0.93847,0.99882,1,0.995,0.90826,0.99882,1,0.995,0.93395,0.41354,0.45921,0.1094,0.2859,0.90635,0.0004952,0.0004952,0.0004952
40,1059.35,0.33209,0.34106,0.10401,0.25603,0.92454,0.99947,1,0.995,0.91752,0.99947,1,0.995,0.93521,0.40984,0.46222,0.10613,0.27649,0.90874,0.0004556,0.0004556,0.0004556
41,1084.56,0.33204,0.30927,0.1005,0.25608,0.92205,0.98255,1,0.99492,0.91493,0.98255,1,0.99492,0.93439,0.40799,0.476,0.10485,0.29418,0.902,0.000416,0.000416,0.000416
42,1109.72,0.34403,0.29312,0.10085,0.25288,0.91466,0.99838,1,0.995,0.91908,0.99838,1,0.995,0.93606,0.39327,0.46765,0.10444,0.26052,0.90545,0.0003764,0.0003764,0.0003764
43,1135.13,0.32461,0.27125,0.09832,0.25021,0.90421,0.99193,0.992,0.99484,0.91062,0.99993,1,0.995,0.95168,0.41193,0.45876,0.10524,0.28157,0.92061,0.0003368,0.0003368,0.0003368
44,1160.36,0.3038,0.26212,0.10046,0.2434,0.91077,1,0.99542,0.995,0.92539,1,0.99542,0.995,0.9414,0.40516,0.42701,0.10291,0.27471,0.90909,0.0002972,0.0002972,0.0002972
45,1185.59,0.3004,0.26896,0.09709,0.24149,0.90433,0.99852,1,0.995,0.9223,0.99852,1,0.995,0.95139,0.38851,0.41117,0.10357,0.26754,0.89641,0.0002576,0.0002576,0.0002576
46,1210.8,0.28854,0.25429,0.09919,0.23261,0.89617,0.99713,1,0.995,0.92724,0.99713,1,0.995,0.95038,0.38834,0.41176,0.10091,0.27199,0.8671,0.000218,0.000218,0.000218
47,1236.01,0.27705,0.23529,0.09752,0.2212,0.89032,0.99779,1,0.995,0.93411,0.99779,1,0.995,0.94128,0.37396,0.4011,0.10065,0.25695,0.89629,0.0001784,0.0001784,0.0001784
48,1261.26,0.26768,0.23159,0.09637,0.2179,0.88806,0.99955,1,0.995,0.92009,0.99955,1,0.995,0.94589,0.3932,0.39916,0.1005,0.25951,0.89902,0.0001388,0.0001388,0.0001388
49,1286.52,0.26597,0.208,0.09748,0.21603,0.88653,0.9975,1,0.995,0.92959,0.9975,1,0.995,0.95148,0.37567,0.38411,0.09806,0.25339,0.88984,9.92e-05,9.92e-05,9.92e-05
50,1311.79,0.25043,0.20128,0.0953,0.20896,0.8771,0.99883,1,0.995,0.92649,0.99883,1,0.995,0.95631,0.38793,0.37822,0.09895,0.25748,0.88739,5.96e-05,5.96e-05,5.96e-05
