t_s,H,n_kpts,rms_m,source
2653.0,"[[0.005873009156133113, -0.048212966071766235, 19.56800144234655], [-0.002015838265310361, 0.03186484908834398, -9.593668438252742], [4.0824868547322104e-05, -0.001629589245942846, 0.9999999999999999]]",8,1.36,model
2654.0,,7,3.62,reject
2655.0,,7,3.15,reject
2656.0,"[[0.005705464843198447, -0.045767342131508605, 19.365399728995673], [-0.003165116316357383, 0.039962139091010845, -10.788161247160652], [-4.030281750200399e-05, -0.001294473023561402, 1.0]]",8,2.52,model
2657.0,"[[0.006822625747898015, -0.05223312015493851, 20.79636727617412], [-0.0024660697284748247, 0.035139563850315456, -10.105445567658716], [5.754370903588323e-05, -0.0016632762740719496, 1.0]]",9,1.41,model
2658.0,,8,16.37,reject
2659.0,"[[0.004861187236077127, -0.042701568785026255, 17.65575263744499], [-0.0018484059723844824, 0.02651943893918996, -7.138930129868232], [3.1568978794443245e-06, -0.0015529857562392203, 1.0]]",7,1.79,model
2660.0,,8,17.09,reject
2661.0,"[[0.006015130852829311, -0.04941320426135665, 19.763220372017432], [-0.0022498435258760646, 0.032182154426445224, -9.593319770245857], [4.385630415810378e-05, -0.0016689435816975072, 1.0]]",8,1.1,model
2662.0,"[[0.006539284482399621, -0.05278919449948712, 21.13371784387429], [-0.0030876833339394485, 0.04271702797480243, -12.958102304192677], [1.4166589307222373e-05, -0.0015257158736387863, 1.0]]",8,0.79,model
2663.0,"[[0.006526305251520472, -0.052734783507543785, 21.210703694243843], [-0.0030391198761756874, 0.04254868666304131, -13.021414602936073], [1.5411248360504345e-05, -0.0015261011743992465, 1.0]]",8,0.8,model
2664.0,"[[0.006555469722529692, -0.052974487041311955, 21.210562462275355], [-0.0030422996791553037, 0.042414397396231, -12.963577335248178], [1.6717575657903503e-05, -0.0015348201906121735, 1.0]]",8,0.83,model
2665.0,"[[0.006556838064771059, -0.05291622364641549, 21.19477432291032], [-0.003033461238177678, 0.04217497505480688, -12.9021042684389], [1.7289569308698494e-05, -0.0015365706093012589, 1.0]]",8,0.83,model
2666.0,"[[0.00651017009360835, -0.05271188446147635, 21.251394354838993], [-0.0030286149352897916, 0.04242402712101935, -13.021371620259842], [1.521571896105928e-05, -0.0015234353826414648, 1.0]]",8,0.81,model
2667.0,"[[0.005592292585133252, -0.04758955344877719, 19.798522711637197], [-0.003257953061708279, 0.03954785662710437, -11.225555354187442], [-3.170260264322248e-05, -0.0013907860942272995, 1.0]]",8,1.33,model
2668.0,"[[0.006516163529782391, -0.052623816769694756, 21.295027891033914], [-0.003035252182166698, 0.04324830063918974, -13.234315636160385], [1.2795940373180831e-05, -0.0015047658969897476, 1.0]]",8,0.78,model
2669.0,"[[0.0064874520341556925, -0.052752717086387714, 21.233585154324455], [-0.0030656578236857553, 0.04306782847213221, -13.20950365637868], [1.2576908510615772e-05, -0.0015186550584389037, 1.0]]",8,0.8,model
2670.0,"[[0.006398537313948468, -0.051942868904971025, 21.286683916829407], [-0.0030894036361338614, 0.04401357646692716, -13.483896294369988], [5.2364127493004264e-06, -0.0014678199194847175, 1.0]]",8,0.78,model
2671.0,"[[0.006508139931767644, -0.05248101367530847, 21.21297000698248], [-0.0030552573920987207, 0.04316452611170829, -13.176270229941878], [1.1484401491624545e-05, -0.0015020371919423035, 1.0]]",8,0.75,model
2672.0,"[[0.006551742131412417, -0.0525081931751564, 21.300815694694343], [-0.0030581410014277606, 0.043724137304887396, -13.260989323922791], [1.1658407532968935e-05, -0.0014883306489325298, 1.0]]",8,0.79,model
2673.0,"[[0.005539338522035645, -0.04676497948126474, 18.479118802935734], [-0.0009033720163406953, 0.018026045452708663, -4.6348890836526], [6.846919128136118e-05, -0.001790974863888924, 1.0]]",7,0.97,model
2674.0,,8,16.49,reject
2675.0,"[[0.005477630968828863, -0.04626049692914344, 18.305080019767804], [-0.0009852335015641893, 0.01873849035921899, -4.868587721085075], [6.664407856334766e-05, -0.0017859728268155653, 1.0]]",7,0.8,model
2676.0,,8,16.52,reject
2677.0,,8,16.57,reject
2678.0,"[[0.005373980835511232, -0.04603805057677691, 18.34375765944828], [-0.0009456714324911823, 0.018311204366350285, -4.8055995341714], [6.522650469887445e-05, -0.0017845751621002445, 1.0]]",7,0.81,model
2679.0,"[[0.005551450106328065, -0.04663673300707401, 18.41141863350737], [-0.0013030096351941817, 0.022627860049360852, -6.353265534268671], [5.953336855323199e-05, -0.0017580370501889852, 1.0]]",7,0.64,model
2680.0,"[[0.005411211100930773, -0.04608158068996871, 18.235124487801187], [-0.0009715101460987767, 0.018012976654055955, -4.6536510761506715], [6.723936657190243e-05, -0.0017966481842324334, 1.0]]",7,0.82,model
2681.0,,8,16.77,reject
2682.0,,8,16.65,reject
2683.0,,8,16.57,reject
2684.0,"[[0.005335046603947799, -0.04595612390344779, 18.317302332118302], [-0.0010021961790119473, 0.01862458960230678, -4.8717820252750395], [6.289555524203181e-05, -0.001780480882948565, 0.9999999999999999]]",7,0.76,model
2685.0,"[[0.005464460002964321, -0.04595829433730736, 18.200471581361413], [-0.001084379223961156, 0.01899658539536213, -4.895000823627161], [6.466260851586427e-05, -0.0017770659201933208, 1.0]]",7,0.74,model
2686.0,"[[0.005354296280570789, -0.04614550988738844, 18.405194172188896], [-0.0010101666242938847, 0.01844722714317664, -4.845071336463939], [6.633070954291604e-05, -0.0017916921706644224, 1.0]]",7,0.73,model
