frame,t_s,track_id,x1,y1,x2,y2,foot_x,foot_y,team
156041,2600.683345024354,1,1745.8751,359.3769,1800.1106,429.91663,1772.9929,429.91663,HCAP
156047,2600.783345024804,1,1738.5062,354.89984,1786.0602,428.97192,1762.2832,428.97192,HCAP
156053,2600.883345025253,1,1729.6542,354.569,1770.1146,429.4823,1749.8844,429.4823,HCAP
156059,2600.9833450257024,1,1722.0974,352.70325,1754.1013,429.0672,1738.0994,429.0672,HCAP
156065,2601.083345026152,1,1711.7871,352.40085,1746.2527,427.96545,1729.0199,427.96545,HCAP
156071,2601.1833450266017,1,1701.8982,355.02383,1736.7947,431.43796,1719.3464,431.43796,HCAP
156077,2601.2833450270514,1,1693.8762,356.65277,1728.2756,431.47675,1711.0759,431.47675,HCAP
156083,2601.3833450275006,1,1685.4736,358.17975,1717.134,430.1673,1701.3038,430.1673,HCAP
156089,2601.4833450279502,1,1676.4387,357.19757,1709.323,428.9145,1692.8809,428.9145,HCAP
156095,2601.5833450284,1,1665.4816,355.8932,1700.851,431.30634,1683.1663,431.30634,HCAP
156101,2601.683345028849,1,1662.1611,349.22726,1691.4133,432.1768,1676.7872,432.1768,HCAP
156107,2601.7833450292987,1,1652.6011,351.97906,1683.062,433.94925,1667.8315,433.94925,HCAP
156113,2601.8833450297484,1,1643.8011,354.66486,1677.5881,434.9015,1660.6946,434.9015,HCAP
156125,2602.083345030648,1,1622.0233,357.43552,1657.5092,436.52728,1639.7662,436.52728,HCAP
156131,2602.183345031097,1,1609.449,355.6803,1648.737,437.27484,1629.093,437.27484,HCAP
156137,2602.2833450315466,1,1596.2347,359.2229,1637.465,435.09686,1616.8499,435.09686,HCAP
156143,2602.383345031996,1,1585.3438,352.9022,1623.7542,435.34085,1604.549,435.34085,HCAP
156149,2602.483345032446,1,1575.3706,353.84024,1608.784,436.33704,1592.0774,436.33704,HCAP
156155,2602.583345032895,1,1564.1642,356.04575,1599.2758,436.4144,1581.72,436.4144,HCAP
156161,2602.6833450333447,1,1552.0833,357.38525,1586.2551,436.05377,1569.1692,436.05377,HCAP
156167,2602.7833450337944,1,1543.378,362.418,1574.8964,439.59558,1559.1372,439.59558,HCAP
156173,2602.883345034244,1,1527.8494,349.40698,1564.0894,436.93158,1545.9694,436.93158,HCAP
156185,2603.083345035143,1,1509.4294,365.34015,1537.6584,436.2796,1523.544,436.2796,HCAP
156191,2603.1833450355925,1,1497.1526,357.29187,1524.428,437.02698,1510.7903,437.02698,HCAP
156281,2604.6833450423355,1,1324.1151,354.70752,1353.8829,431.23993,1338.999,431.23993,HCAP
156311,2605.183345044584,1,1252.1768,373.2095,1278.8464,445.74655,1265.5116,445.74655,HCAP
156053,2600.883345025253,2,1593.1725,329.9761,1619.5419,372.1615,1606.3572,372.1615,LHC
156059,2600.9833450257024,2,1592.9468,330.7832,1619.6313,372.57855,1606.2891,372.57855,LHC
