frame,t_s,track_id,x1,y1,x2,y2,foot_x,foot_y,team,rx,ry
156071,2601.1833450266017,3,1593.486,330.7839,1619.2423,372.81885,1606.3641,372.81885,LHC,30.89744758605957,-2.956258535385132
156077,2601.2833450270514,4,1054.7682,507.2742,1116.4163,631.90674,1085.5923,631.90674,LHC,-147.0305633544922,538.9033813476562
156077,2601.2833450270514,2,1693.8762,356.65277,1728.2756,431.47675,1711.0759,431.47675,HCAP,32.18027877807617,1.3436155319213867
156077,2601.2833450270514,5,1213.7668,352.99255,1246.0703,423.1399,1229.9186,423.1399,HCAP,25.60270118713379,2.637648582458496
156077,2601.2833450270514,1,1411.3154,353.37387,1436.4807,410.6663,1423.8981,410.6663,HCAP,28.51018714904785,0.5665983557701111
156077,2601.2833450270514,3,1593.8547,328.7674,1619.0024,372.69077,1606.4286,372.69077,LHC,30.898334503173828,-2.964707851409912
156083,2601.3833450275006,4,1039.2367,497.8927,1094.929,618.3601,1067.0828,618.3601,LHC,-47.56282043457031,218.6604766845703
156083,2601.3833450275006,2,1685.4736,358.17975,1717.134,430.1673,1701.3038,430.1673,HCAP,32.04792404174805,1.2571544647216797
156083,2601.3833450275006,5,1208.9968,347.33905,1238.227,423.82867,1223.6119,423.82867,HCAP,25.492326736450195,2.741748571395874
156083,2601.3833450275006,6,1457.8706,374.46313,1487.925,430.91052,1472.8978,430.91052,LHC,28.947721481323242,2.344529628753662
156083,2601.3833450275006,1,1415.9517,345.6688,1443.3198,410.44794,1429.6357,410.44794,HCAP,28.587488174438477,0.5239371657371521
156089,2601.4833450279502,4,1021.4817,490.29776,1084.3967,609.1511,1052.9392,609.1511,LHC,-26.966196060180664,151.84121704101562
156089,2601.4833450279502,2,1676.4387,357.19757,1709.323,428.9145,1692.8809,428.9145,HCAP,31.934402465820312,1.1711803674697876
156089,2601.4833450279502,5,1204.987,346.0004,1236.7422,424.4882,1220.8646,424.4882,HCAP,25.434419631958008,2.8266682624816895
156089,2601.4833450279502,6,1461.6421,371.2447,1488.3608,432.12488,1475.0015,432.12488,LHC,28.96446990966797,2.4644546508789062
156095,2601.5833450284,4,1013.1987,480.40146,1073.2969,596.8679,1043.2478,596.8679,LHC,-10.814079284667969,103.02902221679688
156095,2601.5833450284,2,1665.4816,355.8932,1700.851,431.30634,1683.1663,431.30634,HCAP,31.799823760986328,1.5815061330795288
156095,2601.5833450284,5,1202.481,345.29745,1234.2864,425.91083,1218.3837,425.91083,HCAP,25.391204833984375,3.1940090656280518
156095,2601.5833450284,1,1421.5492,335.55353,1449.8862,408.25867,1435.7178,408.25867,HCAP,28.696226119995117,0.48774033784866333
156095,2601.5833450284,6,1462.39,373.43695,1489.2615,433.56696,1475.8257,433.56696,LHC,28.970027923583984,2.773892641067505
156101,2601.6833450288495,8,1122.8843,435.83478,1174.3419,563.6442,1148.613,563.6442,LHC,12.491847038269043,45.77151870727539
