t_s,period,team,number,name,rx,ry
2606.18,2,HCAP,,,15.62,5.99
2606.18,2,HCAP,,,29.87,1.63
2606.18,2,LHC,53.0,Schwarz Adam,30.75,1.46
2606.18,2,HCAP,,,31.49,3.22
2606.28,2,LHC,25.0,Puur Elliot,26.84,10.48
2606.28,2,LHC,,,16.56,18.65
2606.28,2,LHC,,,21.14,15.09
2606.28,2,LHC,44.0,Torchio Luca,25.29,4.92
2606.28,2,HCAP,,,15.49,6.12
2606.28,2,HCAP,,,38.07,8.69
2606.28,2,HCAP,,,17.92,13.61
2606.28,2,HCAP,,,31.22,3.32
2606.28,2,HCAP,,,22.48,5.64
2606.28,2,HCAP,,,5.71,13.07
2606.28,2,HCAP,,,6.8,12.67
2606.28,2,LHC,53.0,Schwarz Adam,30.56,1.45
2606.38,2,LHC,25.0,Puur Elliot,26.95,10.68
2606.38,2,LHC,,,16.15,19.3
2606.38,2,LHC,,,20.98,15.07
2606.38,2,LHC,44.0,Torchio Luca,25.29,4.8
2606.38,2,HCAP,,,38.0,8.28
2606.38,2,HCAP,,,22.33,5.72
2606.38,2,HCAP,,,15.49,5.96
2606.38,2,HCAP,,,31.05,3.15
2606.38,2,HCAP,,,29.55,2.5
2606.38,2,LHC,53.0,Schwarz Adam,30.4,1.49
2606.38,2,HCAP,,,5.38,13.63
2606.48,2,LHC,25.0,Puur Elliot,26.92,11.44
2606.48,2,LHC,,,15.58,20.4
2606.48,2,LHC,,,20.66,15.52
2606.48,2,HCAP,,,15.43,5.93
2606.48,2,LHC,44.0,Torchio Luca,25.16,5.16
2606.48,2,HCAP,,,22.03,6.2
2606.48,2,HCAP,,,30.9,3.25
2606.48,2,HCAP,,,37.95,7.76
2606.48,2,HCAP,,,5.04,14.13
2606.48,2,HCAP,,,33.74,-0.06
2606.48,2,HCAP,,,18.53,13.81
2606.58,2,LHC,25.0,Puur Elliot,26.95,11.82
2606.58,2,LHC,,,15.06,21.13
2606.58,2,HCAP,,,15.29,5.89
2606.58,2,HCAP,,,21.89,6.13
2606.58,2,HCAP,,,18.99,13.0
2606.58,2,LHC,44.0,Torchio Luca,25.11,5.08
2606.58,2,HCAP,,,5.18,13.69
2606.58,2,HCAP,,,31.99,0.96
2606.58,2,HCAP,,,30.76,2.95
2606.58,2,LHC,,,20.26,15.98
2606.58,2,HCAP,,,29.36,1.9
2606.68,2,LHC,25.0,Puur Elliot,26.97,11.95
2606.68,2,LHC,,,14.25,22.68
2606.68,2,HCAP,,,4.22,14.98
2606.68,2,HCAP,,,15.23,5.97
2606.68,2,LHC,,,19.98,16.07
2606.68,2,HCAP,,,19.5,12.48
2606.68,2,LHC,44.0,Torchio Luca,25.04,5.18
2606.68,2,HCAP,,,32.0,0.71
2606.68,2,HCAP,,,29.21,1.87
2606.68,2,HCAP,,,37.94,7.03
2606.68,2,HCAP,,,30.56,3.09
2606.78,2,LHC,25.0,Puur Elliot,26.87,12.61
2606.78,2,LHC,,,13.83,23.37
2606.78,2,LHC,,,19.72,16.11
2606.78,2,HCAP,,,4.14,15.06
2606.78,2,HCAP,,,15.16,6.06
2606.78,2,LHC,44.0,Torchio Luca,24.99,5.36
2606.78,2,HCAP,,,21.29,6.99
2606.78,2,HCAP,,,29.07,1.89
2606.78,2,HCAP,,,32.02,0.92
2606.78,2,HCAP,,,30.4,2.06
2606.78,2,HCAP,,,6.79,12.48
2606.88,2,LHC,25.0,Puur Elliot,26.75,13.13
2606.88,2,LHC,,,13.3,24.14
2606.88,2,HCAP,,,3.59,15.79
2606.88,2,LHC,,,19.48,16.33
2606.88,2,HCAP,,,21.17,6.96
2606.88,2,HCAP,,,28.87,2.08
2606.88,2,HCAP,,,15.14,6.06
2606.88,2,LHC,44.0,Torchio Luca,24.9,5.46
2606.88,2,HCAP,,,32.02,0.79
2606.88,2,HCAP,,,20.18,12.1
2606.88,2,HCAP,,,6.82,12.4
2606.98,2,LHC,25.0,Puur Elliot,26.67,13.36
2606.98,2,LHC,,,12.7,25.11
2606.98,2,HCAP,,,3.46,15.89
2606.98,2,LHC,,,19.12,16.8
2606.98,2,HCAP,,,15.12,6.09
2606.98,2,HCAP,,,30.04,3.57
2606.98,2,HCAP,,,20.92,7.23
2606.98,2,LHC,44.0,Torchio Luca,24.74,5.99
2606.98,2,HCAP,,,32.04,0.54
2606.98,2,HCAP,,,28.78,2.14
2606.98,2,HCAP,,,6.81,12.45
2607.08,2,LHC,25.0,Puur Elliot,26.52,13.76
2607.08,2,HCAP,,,3.34,15.96
2607.08,2,LHC,,,12.08,26.12
2607.08,2,HCAP,,,20.67,7.51
2607.08,2,LHC,,,18.9,16.93
2607.08,2,LHC,44.0,Torchio Luca,24.6,6.29
2607.08,2,HCAP,,,29.85,3.81
2607.08,2,HCAP,,,15.07,6.13
2607.08,2,HCAP,,,6.75,12.47
2607.08,2,HCAP,,,32.08,0.49
2607.08,2,HCAP,,,28.64,2.05
2607.18,2,HCAP,,,2.74,16.59
2607.18,2,LHC,25.0,Puur Elliot,26.37,14.06
2607.18,2,LHC,,,11.25,27.51
2607.18,2,LHC,,,18.72,17.02
2607.18,2,HCAP,,,21.27,11.5
2607.18,2,LHC,44.0,Torchio Luca,24.53,6.4
2607.18,2,HCAP,,,15.06,6.13
2607.18,2,HCAP,,,29.63,4.14
2607.18,2,HCAP,,,6.86,12.33
2607.18,2,HCAP,,,20.4,7.91
2607.18,2,HCAP,,,28.44,2.05
2607.18,2,HCAP,,,32.1,0.44
2607.28,2,HCAP,,,2.16,17.23
2607.28,2,LHC,25.0,Puur Elliot,26.1,14.99
2607.28,2,LHC,,,18.87,16.24
2607.28,2,LHC,44.0,Torchio Luca,24.37,6.79
2607.28,2,LHC,,,10.35,29.08
2607.28,2,HCAP,,,21.7,11.21
2607.28,2,HCAP,,,20.34,7.6
2607.28,2,HCAP,,,15.05,6.14
2607.28,2,HCAP,,,28.28,2.25
